"time_horizon","mean_car","car_95","cvar_95","method","car_95_kg","mean_car_kg"
50,0.492837364500497,0.730621518353711,0.830235720708215,"Spliced GPD",730.621518353711,492.837364500497
51,0.496369433783735,0.739331647964917,0.830648433410122,"Spliced GPD",739.331647964917,496.369433783735
52,0.500502127472882,0.741853357471843,0.829730818906828,"Spliced GPD",741.853357471843,500.502127472882
53,0.503543862787564,0.743209096385096,0.829274287642654,"Spliced GPD",743.209096385096,503.543862787564
54,0.507247277998677,0.749010405832846,0.842104044777584,"Spliced GPD",749.010405832846,507.247277998677
55,0.510731243269681,0.753259397228426,0.84534508262733,"Spliced GPD",753.259397228426,510.731243269681
56,0.513553833691953,0.759311745797813,0.846275628438811,"Spliced GPD",759.311745797814,513.553833691953
57,0.516624601890032,0.759354689853072,0.850505659193531,"Spliced GPD",759.354689853072,516.624601890032
58,0.519434149435842,0.760305780081053,0.848701608885277,"Spliced GPD",760.305780081053,519.434149435842
59,0.522345238442937,0.764578309363134,0.844238870017935,"Spliced GPD",764.578309363134,522.345238442937
60,0.524635191450195,0.76267754504633,0.84150746391578,"Spliced GPD",762.67754504633,524.635191450195
61,0.527283175188109,0.759788932676958,0.840767541120049,"Spliced GPD",759.788932676958,527.283175188109
62,0.528799372736914,0.762006919663547,0.840120800364219,"Spliced GPD",762.006919663547,528.799372736914
63,0.531864363572959,0.766711330406023,0.845135398021466,"Spliced GPD",766.711330406023,531.864363572959
64,0.534379087352458,0.766336884912948,0.845101218439501,"Spliced GPD",766.336884912948,534.379087352458
65,0.536882598104222,0.76365530555364,0.844421386162043,"Spliced GPD",763.65530555364,536.882598104222
66,0.538777345378038,0.764460437063903,0.841198132764997,"Spliced GPD",764.460437063903,538.777345378038
67,0.540394800201463,0.762561938753839,0.839361567149745,"Spliced GPD",762.561938753839,540.394800201463
68,0.542374994101102,0.761555864446434,0.835120663175577,"Spliced GPD",761.555864446434,542.374994101102
69,0.544392770634312,0.762057723261574,0.838078413833699,"Spliced GPD",762.057723261574,544.392770634312
70,0.546134671622035,0.761326208449454,0.838941011470548,"Spliced GPD",761.326208449454,546.134671622035
71,0.548267244529083,0.760944913263419,0.840794242035233,"Spliced GPD",760.944913263419,548.267244529083
72,0.550434623785863,0.762036981381543,0.84282918202253,"Spliced GPD",762.036981381543,550.434623785863
73,0.55218335522201,0.763754608731671,0.847873908628658,"Spliced GPD",763.754608731671,552.18335522201
74,0.553846210110217,0.766538602637153,0.849950231327786,"Spliced GPD",766.538602637153,553.846210110217
75,0.554913819719888,0.767652107804682,0.851393149251649,"Spliced GPD",767.652107804682,554.913819719888
76,0.557287161027773,0.770056797124207,0.853963430220905,"Spliced GPD",770.056797124207,557.287161027773
77,0.558707465333334,0.77261386292396,0.853241992991835,"Spliced GPD",772.61386292396,558.707465333334
78,0.560146754334201,0.776702319292428,0.852144507636237,"Spliced GPD",776.702319292428,560.146754334201
79,0.562576100930992,0.780735517110043,0.859734334290784,"Spliced GPD",780.735517110043,562.576100930992
80,0.564376055738941,0.77820133074955,0.859668517683862,"Spliced GPD",778.20133074955,564.376055738941
81,0.567183284922783,0.784257941288954,0.864789509148158,"Spliced GPD",784.257941288954,567.183284922783
82,0.568044085211978,0.785529173825673,0.860338089982687,"Spliced GPD",785.529173825673,568.044085211978
83,0.570108609655727,0.783984271721478,0.863790762089576,"Spliced GPD",783.984271721478,570.108609655727
84,0.571136145862605,0.788121258598681,0.863702766909301,"Spliced GPD",788.121258598681,571.136145862605
85,0.572614825148752,0.787761524137551,0.86475554349968,"Spliced GPD",787.761524137551,572.614825148752
86,0.573542769568346,0.784604092730767,0.861624988001021,"Spliced GPD",784.604092730767,573.542769568346
87,0.574199092853477,0.784158865638659,0.86031904284525,"Spliced GPD",784.158865638659,574.199092853478
88,0.575695717207407,0.787671296869079,0.86302407031251,"Spliced GPD",787.671296869079,575.695717207407
89,0.576851087642371,0.787126305937368,0.862555996981468,"Spliced GPD",787.126305937368,576.851087642371
90,0.578677490577896,0.789349299724099,0.864397927412407,"Spliced GPD",789.349299724099,578.677490577896
91,0.579261191150099,0.786160897089731,0.859383612774323,"Spliced GPD",786.160897089731,579.261191150099
92,0.580481867199447,0.783790158148562,0.855960669232276,"Spliced GPD",783.790158148562,580.481867199447
93,0.581515637521636,0.783837846158017,0.85927182311136,"Spliced GPD",783.837846158017,581.515637521636
94,0.582065035508488,0.78601645447414,0.857640155587066,"Spliced GPD",786.01645447414,582.065035508488
95,0.584027697167183,0.786582019219603,0.861916244346919,"Spliced GPD",786.582019219603,584.027697167183
96,0.585903402511819,0.787986171091795,0.865425579435626,"Spliced GPD",787.986171091795,585.903402511819
97,0.58747551796996,0.793011390015466,0.866684414718944,"Spliced GPD",793.011390015466,587.475517969961
98,0.588804393106891,0.79130124302883,0.868995448814568,"Spliced GPD",791.30124302883,588.804393106891
99,0.590408811658121,0.789795207724687,0.869318609828531,"Spliced GPD",789.795207724687,590.408811658121
100,0.591376447312184,0.79525829961352,0.867116871109112,"Spliced GPD",795.25829961352,591.376447312184
101,0.592308896124597,0.793323501081936,0.867721864084697,"Spliced GPD",793.323501081936,592.308896124597
102,0.592789302051491,0.793357235797993,0.865955460712474,"Spliced GPD",793.357235797993,592.789302051491
103,0.593673691407687,0.799645266899988,0.866999862152356,"Spliced GPD",799.645266899988,593.673691407687
104,0.594461132067665,0.798935910054323,0.866309079115901,"Spliced GPD",798.935910054323,594.461132067665
105,0.595497155493214,0.800479863395976,0.866136792155464,"Spliced GPD",800.479863395976,595.497155493214
106,0.59597377299978,0.797178859806681,0.864487995569358,"Spliced GPD",797.178859806681,595.97377299978
107,0.597365589734626,0.798676761525569,0.863883082125923,"Spliced GPD",798.676761525569,597.365589734626
108,0.597926301178358,0.794192427691312,0.859179654090815,"Spliced GPD",794.192427691312,597.926301178358
109,0.598497598281635,0.794773297449296,0.858466561233589,"Spliced GPD",794.773297449296,598.497598281635
110,0.600014324129038,0.797682335338224,0.870206905874064,"Spliced GPD",797.682335338224,600.014324129038
111,0.600127114346892,0.801497636239687,0.867698660315212,"Spliced GPD",801.497636239686,600.127114346892
112,0.600992369820369,0.799137938961762,0.864666889919132,"Spliced GPD",799.137938961762,600.992369820369
113,0.602349105432487,0.800063211936946,0.867488287329946,"Spliced GPD",800.063211936946,602.349105432487
114,0.603594456928463,0.794116999382107,0.868466142547059,"Spliced GPD",794.116999382107,603.594456928463
115,0.604085122889534,0.79997534324509,0.870859478735574,"Spliced GPD",799.97534324509,604.085122889534
116,0.604906280454137,0.806566143357948,0.87329413068963,"Spliced GPD",806.566143357948,604.906280454137
117,0.605583860927776,0.805183218759321,0.875154864574511,"Spliced GPD",805.183218759321,605.583860927776
118,0.606948669978271,0.806296614393872,0.879377025068461,"Spliced GPD",806.296614393872,606.948669978271
119,0.607545293151343,0.808228270021311,0.879291945581372,"Spliced GPD",808.228270021311,607.545293151343
