"time_horizon","mean_car","car_95","cvar_95","multiplier","label","regrowth_pct"
101,0.549760165894569,0.651479846871754,0.672382844494733,1,"1.0x baseline",2
102,0.551651191942845,0.653279635429126,0.676284491509484,1,"1.0x baseline",2
103,0.552979655186112,0.654296768715979,0.678063418466321,1,"1.0x baseline",2
104,0.554032097187034,0.654332865897632,0.679083318017167,1,"1.0x baseline",2
105,0.555022811390253,0.653770371328735,0.67878640857113,1,"1.0x baseline",2
106,0.556332801433223,0.655229066309184,0.67973122342472,1,"1.0x baseline",2
107,0.556955421754675,0.65655811320626,0.680504673803404,1,"1.0x baseline",2
108,0.557925804559061,0.657642197197058,0.681295046895126,1,"1.0x baseline",2
109,0.559185702330372,0.659085022288977,0.681817138279048,1,"1.0x baseline",2
110,0.560293054890447,0.658884467483782,0.681431442727793,1,"1.0x baseline",2
111,0.56176709755846,0.660263237481302,0.683363208159354,1,"1.0x baseline",2
112,0.56286484759734,0.661650332271709,0.685233458439999,1,"1.0x baseline",2
113,0.563926671951626,0.6644733718746,0.686685765339247,1,"1.0x baseline",2
114,0.565316729913322,0.665877140551247,0.6887943010204,1,"1.0x baseline",2
115,0.565880863582044,0.664708722892583,0.689278214597595,1,"1.0x baseline",2
116,0.56663063595247,0.666079050505004,0.691138629840845,1,"1.0x baseline",2
117,0.567613886352337,0.665699111577426,0.690362221822937,1,"1.0x baseline",2
118,0.568304770170836,0.666887888810943,0.690149858952395,1,"1.0x baseline",2
119,0.569344100293523,0.669445816447567,0.691965889097258,1,"1.0x baseline",2
120,0.570406149804696,0.6693643880186,0.693555786040925,1,"1.0x baseline",2
121,0.571091035086501,0.673195490811393,0.693692396138727,1,"1.0x baseline",2
122,0.572385152095869,0.672890141296618,0.694786046970324,1,"1.0x baseline",2
123,0.573261748997009,0.672576384645128,0.694844518572703,1,"1.0x baseline",2
124,0.574122110034675,0.671066925255694,0.694553663694041,1,"1.0x baseline",2
125,0.575131043068686,0.67412148950439,0.696991892795252,1,"1.0x baseline",2
126,0.575571242979275,0.673584214009794,0.6957389741673,1,"1.0x baseline",2
127,0.576629206433099,0.674463433966218,0.697778211682965,1,"1.0x baseline",2
128,0.578090105534189,0.676944404528796,0.698538531286849,1,"1.0x baseline",2
129,0.579041647928041,0.679417553421917,0.700997368402404,1,"1.0x baseline",2
130,0.57960945452774,0.680056713249938,0.700844708608909,1,"1.0x baseline",2
131,0.580478146883019,0.679108542275519,0.700559349724289,1,"1.0x baseline",2
132,0.581537231474089,0.680520588292475,0.702785598786383,1,"1.0x baseline",2
133,0.582726726661801,0.681396433874826,0.704031277112894,1,"1.0x baseline",2
134,0.583498508305907,0.682006236541732,0.704938713738658,1,"1.0x baseline",2
135,0.584374621805917,0.684168224753807,0.705699665159836,1,"1.0x baseline",2
136,0.58545741779227,0.684930796282569,0.708709580086148,1,"1.0x baseline",2
137,0.586198693835777,0.688142758776245,0.708526725247176,1,"1.0x baseline",2
138,0.587051675790739,0.687457417263314,0.709352625220413,1,"1.0x baseline",2
139,0.587747374428314,0.68754044069879,0.709645707650739,1,"1.0x baseline",2
140,0.588996458628309,0.687279570514842,0.711108684579119,1,"1.0x baseline",2
141,0.590069793221089,0.689727508419178,0.712792374049268,1,"1.0x baseline",2
142,0.590972422045687,0.691398777237386,0.713304795289962,1,"1.0x baseline",2
143,0.591968678783228,0.68948080374746,0.711914935361184,1,"1.0x baseline",2
144,0.592759833736137,0.690078758330202,0.712236853300455,1,"1.0x baseline",2
145,0.593427791102811,0.690385907016338,0.712693839714961,1,"1.0x baseline",2
146,0.593942161165075,0.692484398621425,0.714278379192308,1,"1.0x baseline",2
147,0.594317942559522,0.693202845724654,0.713961050749155,1,"1.0x baseline",2
